p,e,method,target_setting,setting_id,tuning_parameter,tuning_value,graph_penalty,target_penalty,replicates,target_hamming_replicates,target_hamming_decisions,target_hamming_mean,target_hamming_std,target_hamming_rate_mean,target_hamming_rate_std,union_target_decisions,union_target_error_replicates,union_target_error_mean,union_target_error_std,union_target_error_rate_mean,union_target_error_rate_std,replicates_planned,complete_replicates
20,1,gnies_unknown,unknown,bic_x4,bic_multiplier,4.0,15.201804919084164,,10,0,100,,,,,20,10,11.1,2.9230881691191675,0.5549999999999999,0.14615440845595834,10,True
20,1,ps_mip_unknown,unknown,bic_x0p5,tied_bic_multiplier,0.5,0.0019002256148855,0.0019002256148855,10,10,100,5.5,3.719318934070233,0.05500000000000001,0.03719318934070233,20,10,1.2,1.398411797560202,0.06,0.0699205898780101,10,True
20,1,ps_mip_unknown,unknown,bic_x1,tied_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,10,100,5.0,3.9157800414902435,0.05,0.03915780041490244,20,10,1.6,0.9660917830792958,0.08,0.048304589153964794,10,True
20,1,ps_mip_unknown,unknown,bic_x2,tied_bic_multiplier,2.0,0.007600902459542,0.007600902459542,10,10,100,5.9,3.9285281382896233,0.05900000000000001,0.039285281382896234,20,10,2.1,1.1005049346146119,0.10500000000000001,0.05502524673073059,10,True
20,1,utigsp_unknown,unknown,alpha_1em05,alpha=alpha_inv,1e-05,,,10,10,100,7.9,2.4698178070456938,0.079,0.02469817807045694,20,10,2.7,1.3374935098492586,0.135,0.06687467549246293,10,True
20,1,utigsp_unknown,unknown,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,10,100,7.8,3.6147844564602556,0.078,0.03614784456460256,20,10,2.5,1.8408935028645435,0.125,0.09204467514322716,10,True
20,1,utigsp_unknown,unknown,alpha_0p001,alpha=alpha_inv,0.001,,,10,10,100,7.0,2.4037008503093262,0.07,0.024037008503093264,20,10,2.2,1.0327955589886446,0.11000000000000001,0.05163977794943222,10,True
20,1,utigsp_unknown,unknown,alpha_0p01,alpha=alpha_inv,0.01,,,10,10,100,7.2,3.5839146815241634,0.072,0.03583914681524163,20,10,1.7,0.8232726023485646,0.085,0.04116363011742822,10,True
20,1,utigsp_unknown,unknown,alpha_0p05,alpha=alpha_inv,0.05,,,10,10,100,11.3,4.295992965026311,0.11299999999999999,0.04295992965026311,20,10,2.5,1.6499158227686108,0.125,0.08249579113843054,10,True
30,1,gnies_unknown,unknown,bic_x4,bic_multiplier,4.0,15.201804919084164,,3,0,150,,,,,30,3,18.0,2.0,0.6,0.06666666666666665,10,False
30,1,ps_mip_unknown,unknown,bic_x0p5,tied_bic_multiplier,0.5,0.0019002256148855,0.0019002256148855,10,10,150,8.3,4.571651780264984,0.05533333333333333,0.030477678535099896,30,10,1.6,1.6465452046971292,0.05333333333333333,0.05488484015657097,10,True
30,1,ps_mip_unknown,unknown,bic_x1,tied_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,10,150,5.2,2.2509257354845507,0.034666666666666665,0.015006171569897007,30,10,1.4,0.8432740427115678,0.04666666666666667,0.02810913475705227,10,True
30,1,ps_mip_unknown,unknown,bic_x2,tied_bic_multiplier,2.0,0.007600902459542,0.007600902459542,10,10,150,7.7,3.3349995835415367,0.05133333333333334,0.02223333055694358,30,10,2.8,1.1352924243950933,0.09333333333333334,0.03784308081316978,10,True
30,1,utigsp_unknown,unknown,alpha_1em05,alpha=alpha_inv,1e-05,,,10,10,150,12.6,3.687817782917155,0.084,0.024585451886114367,30,10,4.3,1.1595018087284057,0.14333333333333334,0.03865006029094686,10,True
30,1,utigsp_unknown,unknown,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,10,150,10.6,3.9496835316263,0.07066666666666667,0.02633122354417533,30,10,3.9,2.5144029554194813,0.13,0.08381343184731603,10,True
30,1,utigsp_unknown,unknown,alpha_0p001,alpha=alpha_inv,0.001,,,10,10,150,9.1,3.478505426185217,0.06066666666666667,0.023190036174568118,30,10,3.2,1.4757295747452437,0.10666666666666666,0.04919098582484146,10,True
30,1,utigsp_unknown,unknown,alpha_0p01,alpha=alpha_inv,0.01,,,10,10,150,10.1,4.863697724525605,0.06733333333333333,0.03242465149683737,30,10,3.2,2.043961295567452,0.10666666666666666,0.06813204318558173,10,True
30,1,utigsp_unknown,unknown,alpha_0p05,alpha=alpha_inv,0.05,,,10,10,150,19.9,4.653553003411002,0.13266666666666665,0.031023686689406672,30,10,3.1,1.5951314818673865,0.10333333333333332,0.053171049395579546,10,True
10,2,gnies_unknown,unknown,bic_x0p25,bic_multiplier,0.25,0.9501128074427604,,10,0,50,,,,,10,10,2.0,1.5634719199411433,0.2,0.15634719199411434,10,True
10,2,gnies_unknown,unknown,bic_x0p5,bic_multiplier,0.5,1.9002256148855208,,10,0,50,,,,,10,10,2.0,1.7638342073763937,0.2,0.17638342073763938,10,True
10,2,gnies_unknown,unknown,bic_x1,bic_multiplier,1.0,3.800451229771041,,10,0,50,,,,,10,10,2.3,1.8287822299126937,0.22999999999999998,0.18287822299126938,10,True
10,2,gnies_unknown,unknown,bic_x2,bic_multiplier,2.0,7.600902459542082,,10,0,50,,,,,10,10,3.2,1.9888578520235065,0.32,0.19888578520235062,10,True
10,2,gnies_unknown,unknown,bic_x4,bic_multiplier,4.0,15.201804919084164,,10,0,50,,,,,10,10,4.6,1.6465452046971292,0.45999999999999996,0.1646545204697129,10,True
10,2,ps_mip_unknown,unknown,bic_x0p5,tied_bic_multiplier,0.5,0.0019002256148855,0.0019002256148855,10,10,50,2.4,2.6749870196985173,0.048,0.053499740393970346,10,10,0.3,0.48304589153964794,0.030000000000000006,0.0483045891539648,10,True
10,2,ps_mip_unknown,unknown,bic_x1,tied_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,10,50,2.5,2.41522945769824,0.05,0.048304589153964794,10,10,0.3,0.48304589153964794,0.030000000000000006,0.0483045891539648,10,True
10,2,ps_mip_unknown,unknown,bic_x2,tied_bic_multiplier,2.0,0.007600902459542,0.007600902459542,10,10,50,3.1,2.6012817353502227,0.062,0.052025634707004456,10,10,0.6,0.6992058987801011,0.06000000000000001,0.06992058987801011,10,True
10,2,utigsp_unknown,unknown,alpha_1em05,alpha=alpha_inv,1e-05,,,10,10,50,6.9,4.1486276177925525,0.138,0.08297255235585106,10,10,1.4,1.2649110640673518,0.13999999999999999,0.12649110640673517,10,True
10,2,utigsp_unknown,unknown,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,10,50,7.2,4.8488257455915145,0.144,0.0969765149118303,10,10,0.8,0.7888106377466155,0.08,0.07888106377466156,10,True
10,2,utigsp_unknown,unknown,alpha_0p001,alpha=alpha_inv,0.001,,,10,10,50,6.6,3.5962943891363137,0.132,0.07192588778272628,10,10,1.0,0.6666666666666666,0.1,0.06666666666666667,10,True
10,2,utigsp_unknown,unknown,alpha_0p01,alpha=alpha_inv,0.01,,,10,10,50,6.1,4.605552204797065,0.122,0.09211104409594131,10,10,0.9,0.9944289260117531,0.09,0.09944289260117531,10,True
10,2,utigsp_unknown,unknown,alpha_0p05,alpha=alpha_inv,0.05,,,10,10,50,5.1,3.4785054261852175,0.10200000000000001,0.06957010852370434,10,10,0.6,0.8432740427115679,0.06000000000000001,0.08432740427115679,10,True
20,2,gnies_unknown,unknown,bic_x0p5,bic_multiplier,0.5,1.9002256148855208,,2,0,100,,,,,20,2,2.5,0.7071067811865476,0.125,0.03535533905932737,10,False
20,2,gnies_unknown,unknown,bic_x1,bic_multiplier,1.0,3.800451229771041,,6,0,100,,,,,20,6,5.0,2.0976176963403033,0.25,0.10488088481701517,10,False
20,2,gnies_unknown,unknown,bic_x2,bic_multiplier,2.0,7.600902459542082,,9,0,100,,,,,20,9,7.666666666666667,2.6457513110645903,0.38333333333333336,0.13228756555322957,10,False
20,2,gnies_unknown,unknown,bic_x4,bic_multiplier,4.0,15.201804919084164,,10,0,100,,,,,20,10,10.6,1.9550504398153568,0.53,0.09775252199076787,10,True
20,2,ps_mip_unknown,unknown,bic_x0p5,tied_bic_multiplier,0.5,0.0019002256148855,0.0019002256148855,10,10,100,4.7,3.5605867181937554,0.047,0.035605867181937555,20,10,1.0,1.247219128924647,0.05,0.06236095644623235,10,True
20,2,ps_mip_unknown,unknown,bic_x1,tied_bic_multiplier,1.0,0.003800451229771,0.003800451229771,10,10,100,3.7,2.9078437983419185,0.037,0.029078437983419185,20,10,1.0,1.0540925533894598,0.05,0.05270462766947299,10,True
20,2,ps_mip_unknown,unknown,bic_x2,tied_bic_multiplier,2.0,0.007600902459542,0.007600902459542,10,10,100,3.9,2.8460498941515415,0.039,0.02846049894151541,20,10,0.9,0.8755950357709131,0.045,0.043779751788545665,10,True
20,2,utigsp_unknown,unknown,alpha_1em05,alpha=alpha_inv,1e-05,,,10,10,100,11.0,3.915780041490244,0.11000000000000001,0.03915780041490244,20,10,2.0,1.0540925533894598,0.1,0.05270462766947298,10,True
20,2,utigsp_unknown,unknown,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,10,100,11.1,5.363456596884761,0.11100000000000002,0.053634565968847615,20,10,1.8,0.7888106377466155,0.09,0.03944053188733077,10,True
20,2,utigsp_unknown,unknown,alpha_0p001,alpha=alpha_inv,0.001,,,10,10,100,10.3,5.6184220797895446,0.10300000000000001,0.05618422079789544,20,10,1.9,0.5676462121975466,0.095,0.028382310609877334,10,True
20,2,utigsp_unknown,unknown,alpha_0p01,alpha=alpha_inv,0.01,,,10,10,100,11.2,6.0882400303098,0.11200000000000002,0.06088240030309799,20,10,1.6,0.9660917830792959,0.08,0.048304589153964794,10,True
20,2,utigsp_unknown,unknown,alpha_0p05,alpha=alpha_inv,0.05,,,10,10,100,19.1,6.436872946806806,0.191,0.06436872946806807,20,10,2.6,1.07496769977314,0.13,0.05374838498865701,10,True
30,2,ps_mip_unknown,unknown,bic_x0p5,tied_bic_multiplier,0.5,0.0019002256148855,0.0019002256148855,9,9,150,6.333333333333333,6.08276253029822,0.042222222222222223,0.04055175020198813,30,9,2.2222222222222223,1.5634719199411433,0.07407407407407407,0.05211573066470477,10,False
30,2,ps_mip_unknown,unknown,bic_x1,tied_bic_multiplier,1.0,0.003800451229771,0.003800451229771,9,9,150,5.888888888888889,5.395471352079548,0.03925925925925926,0.03596980901386366,30,9,2.0,1.7320508075688772,0.06666666666666667,0.05773502691896258,10,False
30,2,ps_mip_unknown,unknown,bic_x2,tied_bic_multiplier,2.0,0.007600902459542,0.007600902459542,8,8,150,5.0,3.070597894314954,0.03333333333333333,0.020470652628766357,30,8,2.125,1.1259916264596035,0.07083333333333333,0.03753305421532011,10,False
30,2,utigsp_unknown,unknown,alpha_1em05,alpha=alpha_inv,1e-05,,,10,10,150,14.0,6.912147117775907,0.09333333333333334,0.04608098078517271,30,10,4.9,1.66332999331662,0.16333333333333333,0.055444333110553995,10,True
30,2,utigsp_unknown,unknown,alpha_0p0001,alpha=alpha_inv,0.0001,,,10,10,150,14.5,9.228578799938086,0.09666666666666666,0.0615238586662539,30,10,4.6,1.7126976771553504,0.15333333333333332,0.05708992257184502,10,True
30,2,utigsp_unknown,unknown,alpha_0p001,alpha=alpha_inv,0.001,,,10,10,150,14.9,8.006247560499238,0.09933333333333334,0.05337498373666159,30,10,4.0,1.3333333333333333,0.13333333333333333,0.04444444444444444,10,True
30,2,utigsp_unknown,unknown,alpha_0p01,alpha=alpha_inv,0.01,,,10,10,150,18.8,10.031062866028815,0.12533333333333335,0.0668737524401921,30,10,3.8,1.3984117975602022,0.12666666666666665,0.04661372658534006,10,True
30,2,utigsp_unknown,unknown,alpha_0p05,alpha=alpha_inv,0.05,,,10,10,150,28.7,9.753062197188235,0.19133333333333333,0.06502041464792158,30,10,5.2,1.8135294011647258,0.17333333333333334,0.06045098003882418,10,True
