method,graph,penalty,target_penalty,trials,fdp_mean,fdp_std,tdp_mean,tdp_std,fit_seconds_mean,fit_seconds_median,metric_seconds_mean,mip_gap_max
gnies,3,120.0,,10,0.485297066194899,0.04695850353681456,0.5028571428571429,0.04085259159909946,101.0776066549588,107.46837656083517,0.029467625496908966,
gnies,3,160.0,,10,0.6545421245421246,0.06459649232782277,0.36571428571428566,0.022537446792760464,79.49778243168257,82.2616476896219,0.03561216625384981,
gnies,3,240.0,,10,0.7428571428571429,0.015058465048420846,0.19428571428571417,0.012046772038736699,50.572458155453205,52.98435311065987,0.00426517273299392,
gnies,3,320.0,,10,0.9216666666666666,0.13006408676751113,0.06285714285714282,0.02950844454253273,26.980734419636427,26.468157712370157,0.00324554052203888,
mip_profiled,1,0.001,,10,0.36484126984126986,0.1794181571510484,0.6714285714285715,0.19107050140703696,0.2979744844138622,0.2774171137716621,0.0008381264749914,0.0
mip_profiled,1,0.0025,,10,0.34234126984126984,0.18711466942196592,0.6571428571428573,0.18070158058105026,0.24782755132764578,0.2356207305565476,0.00075275134295221,0.0
mip_profiled,1,0.005,,10,0.2563492063492063,0.1529131423499255,0.7,0.1572149906592303,0.24040180658921595,0.221558635123074,0.00074686165899032,9.509753801214404e-08
mip_profiled,1,0.01,,10,0.1831349206349206,0.1465303114619999,0.7571428571428572,0.13552618543578768,0.235334834549576,0.22045967262238259,0.0007252147421240201,3.447411562818088e-05
mip_profiled,1,0.02,,10,0.05535714285714284,0.07165143802763882,0.8285714285714286,0.09035079029052513,0.23546373471617693,0.223398208618164,0.0007397226989268801,0.0
mip_profiled,1,0.04,,10,0.05714285714285712,0.07377111135633171,0.8142857142857143,0.09642122253007898,0.23063651775009925,0.21976856654509896,0.0007405982352792801,1.1395005840123432e-05
mip_profiled,1,0.08,,10,0.13428571428571429,0.13336734260141184,0.6428571428571429,0.20481726826291974,0.22307397737167772,0.21320032048970455,0.00071260691620405,0.0
mip_profiled,1,0.1,,10,0.2,0.13333333333333336,0.5428571428571429,0.22131333406899525,0.22171513885259625,0.2110123871825635,0.00073845353908832,0.0
mip_profiled,1,0.16,,10,0.24000000000000005,0.0843274042711568,0.48571428571428577,0.07377111135633167,0.2184562286827713,0.2090982713270932,0.00070893000811333,0.0
mip_profiled,1,0.32,,10,0.4416666666666666,0.12453617650811052,0.21428571428571433,0.07529232524210425,0.2144697661977261,0.20711073605343694,0.00069271600805218,0.0
mip_profiled,2,0.001,,10,0.4186955802817872,0.055162863779318,0.9058823529411765,0.05682892841642916,2.1449666921515016,1.6973298569209874,0.00142601761035616,0.0
mip_profiled,2,0.0025,,10,0.35113148928366317,0.06718758310782708,0.9,0.04842780013815082,2.003012305404991,1.5908850443083793,0.0014010833576321101,0.0
mip_profiled,2,0.005,,10,0.24620281765018603,0.09084082189340806,0.8882352941176469,0.05150559033946543,1.7899227297399194,1.5226803650148213,0.0013668419793247699,0.0
mip_profiled,2,0.01,,10,0.15443756449948395,0.0579347180823402,0.8882352941176469,0.0434038110219189,1.7314463332295418,1.5086118744220585,0.00133143719285721,0.0
mip_profiled,2,0.02,,10,0.10588235294117646,0.03720326659021622,0.8941176470588236,0.037203266590216194,1.696869840659201,1.4898296950850636,0.00128252198919649,0.0
mip_profiled,2,0.04,,10,0.10588235294117646,0.07744477512992744,0.8941176470588236,0.07744477512992747,1.6554069970268757,1.4654690038878473,0.00127179054543371,0.0
mip_profiled,2,0.08,,10,0.0889705882352941,0.06395603094826868,0.9235294117647058,0.06231470032184591,1.6046609016600997,1.3890214296989143,0.0012648957781493,4.525548419510915e-05
mip_profiled,2,0.1,,10,0.09485294117647057,0.0572134637179363,0.9235294117647058,0.06231470032184592,1.5814005756750702,1.355533821042627,0.00126137393526727,8.233446078054068e-05
mip_profiled,2,0.16,,10,0.1304716117216117,0.08169261615052127,0.7470588235294117,0.06820598874872975,1.5771818335633725,1.3550276015885174,0.00128104197792704,3.3311576232825975e-05
mip_profiled,2,0.32,,10,0.16178571428571425,0.15470740798736107,0.388235294117647,0.1081101862909037,1.5626290848478674,1.3423659442923963,0.0012094153091311,0.0
mip_profiled,2,0.64,,10,0.26666666666666666,0.2383067843280802,0.15294117647058822,0.049604355453621636,1.563507289113477,1.3411085496190935,0.00108449086546893,0.0
mip_profiled,3,0.001,,10,0.5888479774995768,0.04439371054298758,0.8914285714285715,0.04216370213557842,2285.5500952688512,2604.9279338535853,0.00435173278674479,0.0055550316430223
mip_profiled,3,0.0025,,10,0.5123287510199288,0.04613580831234428,0.9028571428571428,0.050753952740854175,1326.8280789623036,438.7440754629206,0.0042375206481664995,0.0048999253634696
mip_profiled,3,0.005,,10,0.4142655382454449,0.04213477226651806,0.9199999999999999,0.05181512574756357,1066.3331012355163,225.915289796656,0.00413808068260547,0.0064655531297305
mip_profiled,3,0.01,,10,0.14771109684781056,0.04703482768983003,0.9257142857142858,0.03614031611621002,508.75801371387206,124.21134092938155,0.00388876441866155,0.0010860694406245
mip_profiled,3,0.02,,10,0.028571428571428546,0.03563483225498991,0.9428571428571428,0.03563483225498991,140.39790630326607,76.46058584167622,0.0037951096426695,7.782493402783818e-05
mip_profiled,3,0.04,,10,0.02579831932773104,0.016237078308204186,0.9542857142857143,0.019977311393717175,70.32680030753836,46.51024906965904,0.0038481995463370703,6.525570982653494e-09
mip_profiled,3,0.08,,10,0.02941176470588232,0.019607843137254898,0.9371428571428572,0.012046772038736643,43.1885628498625,34.17550906003453,0.0037866653408854603,3.827489874502244e-05
mip_profiled,3,0.1,,10,0.03529411764705879,0.01860163329510812,0.9371428571428572,0.012046772038736643,42.6434967062436,33.85860504116863,0.00382218291051682,8.222022176895469e-05
mip_profiled,3,0.16,,10,0.0709630699787246,0.02894119464227044,0.8800000000000001,0.029508444542532698,40.64619094030932,33.805883744498715,0.00379792740568514,9.119394112671168e-05
mip_profiled,3,0.32,,10,0.20892844857241138,0.0706577281173327,0.4514285714285714,0.026255330956362313,40.47057646145113,33.53963897074573,0.0036317865829914495,0.0
mip_profiled,3,0.64,,10,0.3616666666666667,0.11864721022353267,0.07714285714285712,0.023522074352816152,40.406769695831464,33.319059412926435,0.0032134502194821396,8.399649734157138e-05
utigsp,1,1e-09,,10,0.6866666666666668,0.10766890262556127,0.5,0.12140522651411391,0.07677928102202711,0.0764133094344288,0.0008056188933550799,
utigsp,1,1e-07,,10,0.5533333333333333,0.1657921121145557,0.5857142857142857,0.15721499065923025,0.07780291792005295,0.0811704250518232,0.00118275838904077,
utigsp,1,1e-05,,10,0.48571428571428565,0.1898800194035894,0.7,0.08109231602822098,0.07724849069491024,0.07756139338016504,0.0008054874371736801,
utigsp,1,0.001,,10,0.2053571428571428,0.1541310401931435,0.8142857142857143,0.096421222530079,0.07738850209861992,0.07871374255046246,0.0006585137918591,
utigsp,1,0.01,,10,0.31031746031746027,0.1601436185304662,0.6857142857142857,0.06023386019368344,0.08604881684295827,0.08605916216038159,0.00062718698754901,
utigsp,1,0.1,,10,0.5505677655677655,0.07699400038742313,0.7,0.12508500511013046,0.1012116080615669,0.09304189635440704,0.00069579649716611,
utigsp,1,0.2,,10,0.7150780029784606,0.089932416698518,0.6142857142857143,0.19107050140703696,0.15048497240059072,0.14177732192911205,0.00081111849285657,
utigsp,2,1e-09,,10,0.6207326007326007,0.1333454309834205,0.6058823529411764,0.11109188607227681,0.3071289294399321,0.1955879270099103,0.00274683344177896,
utigsp,2,1e-07,,10,0.4582371794871795,0.04999202078563125,0.7,0.08964023098558788,0.2155447405297309,0.2031132103875279,0.00163801955059167,
utigsp,2,1e-05,,10,0.37752450980392155,0.08838517967221236,0.7117647058823529,0.08060707761213513,0.24051928804256018,0.23020233004353935,0.00121099255047734,
utigsp,2,0.001,,10,0.2684898520811833,0.07790527210456683,0.8588235294117647,0.07940571267182972,0.22141461274586613,0.19520621444098646,0.00119897751137609,
utigsp,2,0.01,,10,0.33788231283082537,0.12964005750635144,0.8529411764705882,0.07466444221435202,0.23066949695348735,0.19852253072895104,0.0012131150811910299,
utigsp,2,0.1,,10,0.7868950399500594,0.05740649959549076,0.6411764705882352,0.13711477440821246,0.2464173106942326,0.23208642192184925,0.00133243249729271,
utigsp,2,0.2,,10,0.8717021969022699,0.019395725169987922,0.6294117647058823,0.0834197936713045,0.3672815855126828,0.3525251694954932,0.00155213531106705,
utigsp,3,1e-09,,10,0.4332532837181793,0.06273281092803441,0.6171428571428572,0.04507489358552088,2.6517658872064205,2.516393330646679,0.00385333034209902,
utigsp,3,1e-07,,10,0.4140617508264567,0.06846737970753705,0.6571428571428571,0.06867716715169508,2.825116936676204,2.3283781548961997,0.0037815460935234496,
utigsp,3,1e-05,,10,0.29911298516561674,0.07789442768451767,0.7685714285714286,0.06659860471256036,2.3109235334675757,2.1320070479996502,0.00355107453651722,
utigsp,3,0.001,,10,0.19190137505926977,0.04723914203645112,0.8485714285714285,0.033128623106525874,3.2755309656262397,2.076752981636673,0.00349402194842691,
utigsp,3,0.01,,10,0.5153033288182189,0.07649558516621846,0.7628571428571429,0.07624997676665943,1.3299374640919268,1.540074238087982,0.0035425599198787897,
utigsp,3,0.1,,10,0.928408162598432,0.014526846290164711,0.5371428571428571,0.10327955589886445,1.0013341018930078,0.9696198808960617,0.00536836795508858,
utigsp,3,0.2,,10,0.9668858775554187,0.008157601354412737,0.45999999999999996,0.12005289839357658,1.616214520810172,1.5143453616183251,0.007737178960815031,
